agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	04264331	00060	105820	2000	1	209800
USGS	04264331	00060	105820	2000	2	208400
USGS	04264331	00060	105820	2000	3	205600
USGS	04264331	00060	105820	2000	4	209800
USGS	04264331	00060	105820	2000	5	239000
USGS	04264331	00060	105820	2000	6	265800
USGS	04264331	00060	105820	2000	7	290400
USGS	04264331	00060	105820	2000	8	280100
USGS	04264331	00060	105820	2000	9	265000
USGS	04264331	00060	105820	2000	10	244200
USGS	04264331	00060	105820	2000	11	226100
USGS	04264331	00060	105820	2000	12	211800
USGS	04264331	00060	105820	2001	1	209700
USGS	04264331	00060	105820	2001	2	212700
USGS	04264331	00060	105820	2001	3	226900
USGS	04264331	00060	105820	2001	4	234300
USGS	04264331	00060	105820	2001	5	237400
USGS	04264331	00060	105820	2001	6	221000
USGS	04264331	00060	105820	2001	7	223300
USGS	04264331	00060	105820	2001	8	230000
USGS	04264331	00060	105820	2001	9	225900
USGS	04264331	00060	105820	2001	10	216500
USGS	04264331	00060	105820	2001	11	208400
USGS	04264331	00060	105820	2001	12	213000
USGS	04264331	00060	105820	2002	1	215900
USGS	04264331	00060	105820	2002	2	211100
USGS	04264331	00060	105820	2002	3	244800
USGS	04264331	00060	105820	2002	4	250100
USGS	04264331	00060	105820	2002	5	267900
USGS	04264331	00060	105820	2002	6	288100
USGS	04264331	00060	105820	2002	7	288500
USGS	04264331	00060	105820	2002	8	271300
USGS	04264331	00060	105820	2002	9	241300
USGS	04264331	00060	105820	2002	10	230200
USGS	04264331	00060	105820	2002	11	225300
USGS	04264331	00060	105820	2002	12	217500
USGS	04264331	00060	105820	2003	1	207700
USGS	04264331	00060	105820	2003	2	207000
USGS	04264331	00060	105820	2003	3	196900
USGS	04264331	00060	105820	2003	4	206500
USGS	04264331	00060	105820	2003	5	221800
USGS	04264331	00060	105820	2003	6	252600
USGS	04264331	00060	105820	2003	7	251600
USGS	04264331	00060	105820	2003	8	263600
USGS	04264331	00060	105820	2003	9	249400
USGS	04264331	00060	105820	2003	10	239200
USGS	04264331	00060	105820	2003	11	241500
USGS	04264331	00060	105820	2003	12	246300
USGS	04264331	00060	105820	2004	1	229000
USGS	04264331	00060	105820	2004	2	251500
USGS	04264331	00060	105820	2004	3	253000
USGS	04264331	00060	105820	2004	4	256300
USGS	04264331	00060	105820	2004	5	255200
USGS	04264331	00060	105820	2004	6	270400
USGS	04264331	00060	105820	2004	7	268300
USGS	04264331	00060	105820	2004	8	277200
USGS	04264331	00060	105820	2004	9	282900
USGS	04264331	00060	105820	2004	10	279200
USGS	04264331	00060	105820	2004	11	254100
USGS	04264331	00060	105820	2004	12	248500
USGS	04264331	00060	105820	2005	1	221400
USGS	04264331	00060	105820	2005	2	263000
USGS	04264331	00060	105820	2005	3	274100
USGS	04264331	00060	105820	2005	4	275400
USGS	04264331	00060	105820	2005	5	282600
USGS	04264331	00060	105820	2005	6	261100
USGS	04264331	00060	105820	2005	7	251200
USGS	04264331	00060	105820	2005	8	244500
USGS	04264331	00060	105820	2005	9	241900
USGS	04264331	00060	105820	2005	10	240600
USGS	04264331	00060	105820	2005	11	251700
USGS	04264331	00060	105820	2005	12	254200
USGS	04264331	00060	105820	2006	1	220000
USGS	04264331	00060	105820	2006	2	246600
USGS	04264331	00060	105820	2006	3	270000
USGS	04264331	00060	105820	2006	4	261900
USGS	04264331	00060	105820	2006	5	240300
USGS	04264331	00060	105820	2006	6	229100
USGS	04264331	00060	105820	2006	7	238900
USGS	04264331	00060	105820	2006	8	252200
USGS	04264331	00060	105820	2006	9	253800
USGS	04264331	00060	105820	2006	10	263300
USGS	04264331	00060	105820	2006	11	287000
USGS	04264331	00060	105820	2006	12	277900
USGS	04264331	00060	105820	2007	1	247500
USGS	04264331	00060	105820	2007	2	268000
USGS	04264331	00060	105820	2007	3	280600
USGS	04264331	00060	105820	2007	4	278700
USGS	04264331	00060	105820	2007	5	279300
USGS	04264331	00060	105820	2007	6	258300
USGS	04264331	00060	105820	2007	7	246100
USGS	04264331	00060	105820	2007	8	238200
USGS	04264331	00060	105820	2007	9	229800
USGS	04264331	00060	105820	2007	10	227900
USGS	04264331	00060	105820	2007	11	225000
USGS	04264331	00060	105820	2007	12	206600
USGS	04264331	00060	105820	2008	1	211400
USGS	04264331	00060	105820	2008	2	238000
USGS	04264331	00060	105820	2008	3	260200
USGS	04264331	00060	105820	2008	4	254200
USGS	04264331	00060	105820	2008	5	297300
USGS	04264331	00060	105820	2008	6	285000
USGS	04264331	00060	105820	2008	7	272500
USGS	04264331	00060	105820	2008	8	281100
USGS	04264331	00060	105820	2008	9	271200
USGS	04264331	00060	105820	2008	10	253500
USGS	04264331	00060	105820	2008	11	247200
USGS	04264331	00060	105820	2008	12	237800
USGS	04264331	00060	105820	2009	1	224100
USGS	04264331	00060	105820	2009	2	252200
USGS	04264331	00060	105820	2009	3	273000
USGS	04264331	00060	105820	2009	4	278300
USGS	04264331	00060	105820	2009	5	288500
USGS	04264331	00060	105820	2009	6	284200
USGS	04264331	00060	105820	2009	7	277800
USGS	04264331	00060	105820	2009	8	283000
USGS	04264331	00060	105820	2009	9	272600
USGS	04264331	00060	105820	2009	10	256000
USGS	04264331	00060	105820	2009	11	251700
USGS	04264331	00060	105820	2009	12	248400
USGS	04264331	00060	105820	2010	1	220600
USGS	04264331	00060	105820	2010	2	239700
USGS	04264331	00060	105820	2010	3	244000
USGS	04264331	00060	105820	2010	4	239600
USGS	04264331	00060	105820	2010	5	224300
USGS	04264331	00060	105820	2010	6	226100
USGS	04264331	00060	105820	2010	7	238000
USGS	04264331	00060	105820	2010	8	253200
USGS	04264331	00060	105820	2010	9	251500
USGS	04264331	00060	105820	2010	10	245300
USGS	04264331	00060	105820	2010	11	245300
USGS	04264331	00060	105820	2010	12	247000
USGS	04264331	00060	105820	2011	1	217600
USGS	04264331	00060	105820	2011	2	228400
USGS	04264331	00060	105820	2011	3	242100
USGS	04264331	00060	105820	2011	4	258900
USGS	04264331	00060	105820	2011	5	275200
USGS	04264331	00060	105820	2011	6	309000
USGS	04264331	00060	105820	2011	7	296800
USGS	04264331	00060	105820	2011	8	281500
USGS	04264331	00060	105820	2011	9	266100
USGS	04264331	00060	105820	2011	10	261200
USGS	04264331	00060	105820	2011	11	268200
USGS	04264331	00060	105820	2011	12	265400