Monthly data for lake:, stc,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,26.58,47.26,55.07,53.54,88.6,165.15,64.85,164.57,40.34,69.28,73.83,65.65
1941,39.05,15.41,39.77,38.07,62.17,67.73,60.24,72.78,28.87,85.54,50.72,47.28
1942,47.52,68.42,80.27,40.27,113.48,48.49,97.27,108.99,81.67,76.77,68.63,63.77
1943,48.89,45.27,67.31,86.86,180.64,55.36,115.77,39.11,46.11,26.31,50.76,11.66
1944,21.93,47.63,65.78,75.89,90.55,80.58,30.14,63.71,35.98,16.2,43.22,44.35
1945,22.31,39.66,87.72,82.62,172.18,95.24,72.54,60.97,135.83,77.07,34.42,46.46
1946,34.73,56.24,59.41,13.22,107.26,128.95,23.98,77.36,34.21,65.08,34.85,77.67
1947,71.13,12.3,60.46,150.5,130,61.17,93.54,140.53,102.84,21.64,38.27,45.36
1948,31.89,80.22,68.84,52.63,135.99,69.61,38.79,32.8,37.91,38.62,91.58,45.6
1949,64.78,63.95,64.83,50.97,74.58,68.9,76.19,76.11,66.91,107.96,36.16,92.28
1950,111.32,89.92,59.45,104.84,51.62,50.1,80.5,59.7,94.16,87.63,96.14,64.37
1951,61.38,69.69,71.44,64.08,68.81,81.72,78.36,52.8,50.31,98.61,81.4,102.39
1952,76.15,33.55,73.45,77.47,61.15,28.98,60.56,51.76,41.31,34.27,60.42,49.9
1953,54.97,16.03,68.28,74.26,55.25,78.03,55.68,40.72,47.73,21.2,23.59,45.64
1954,49.79,99.06,110.17,73.45,29.23,58.48,37.55,48.66,52.83,177.12,39.43,43.42
1955,39.8,66.32,63.31,57.19,37.56,53.46,58.01,85.14,53.66,94.51,77.71,33.06
1956,32.02,54.73,85.86,103.96,140.37,79.89,36.47,130.09,18.61,18.13,53.85,52.68
1957,48.2,56.21,36.26,119.48,77.82,83.17,129.45,54.78,106.65,81.53,60.18,91.11
1958,19.52,18.01,12.26,41.03,26.52,77.24,62.78,54.12,81.81,39.99,67.32,12.27
1959,75.32,48.99,55.76,96.9,83.85,19.92,58.85,128.35,78.2,102.25,75.3,87.74
1960,69.6,51.97,32.33,59.9,62.46,133.59,43.53,55.19,26.87,47.47,23.64,16.89
1961,7.74,62.43,59.69,130.74,60.97,73.6,61.96,110.88,98.65,34.73,69.04,37.15
1962,51.15,57.13,25.51,37.1,29.19,129.63,53.07,81.41,69.25,42.9,50.42,34.96
1963,23.67,16.71,65.23,76.66,56.04,68,40.51,52.79,37.28,11.02,30.72,31.8
1964,52.02,19.48,62.84,99.58,49.06,71.03,54.61,118.7,51.41,13.56,22.81,61.68
1965,89.48,66.38,69.18,62.26,44.1,55.9,71.96,87.5,69.18,84.53,35.59,94.74
1966,18.27,29.57,58.66,82.14,49.13,78.84,75.52,101.24,32.08,34.47,98.18,108.29
1967,59.07,32.54,21.64,74.84,36.07,183.83,86.27,81.79,57.14,102.69,63.93,133.45
1968,62.25,38.35,56.81,45.83,120.15,154.84,115.18,110.39,49.72,34.12,75.65,85.78
1969,72.66,8,42.76,100.32,115.87,96.56,168.2,50.42,23.53,51.29,75.27,41.53
1970,28.04,18.93,50.96,71.18,83.06,84.89,87.75,34.37,64.74,43.2,71.66,51.35
1971,15.48,82.63,45.19,21.77,32.11,52.14,39.1,83.2,55.67,28.07,35.05,93
1972,39.93,33.96,66.01,82.69,52.07,65.07,58.46,103.53,80.75,84.45,109.67,85.97
1973,33.8,36.27,115.69,48.17,72.14,136.32,73.33,44.48,41.88,51.61,96.16,81.6
1974,70.47,59,91.29,67.35,105.05,38.93,48.15,69.75,60.46,20.96,80.78,78.18
1975,64.35,67.49,53.93,71.17,64.69,122.25,37.82,188.72,79.72,21.83,61.46,94.18
1976,60.07,64.4,105.8,81.02,106.74,96.27,175.95,53.44,82.49,67.32,27.37,37.51
1977,36.72,35.49,92.07,115.86,45.52,65.89,67.32,72.15,126.26,50.85,64.57,81.87
1978,91.97,10.22,45.26,59.31,73.31,73.94,39.83,36.41,83.2,47.75,51.21,56.18
1979,41.36,14.35,54.39,117.82,101.05,55.75,92.14,39.15,41.84,35.53,103.55,71.74
1980,21.47,20.93,86.42,84.83,66.25,102.74,147.47,122.6,90.4,48.35,24.03,55.05
1981,15.47,76.75,22.66,109.04,67.9,77.97,96.02,106.64,153.58,128.64,35.11,51.42
1982,73.2,40.47,65.44,42.9,41.46,88.71,89.07,55.05,76.54,23.61,144.68,90.5
1983,21.79,30.8,45.85,110.64,123.2,102.68,169.44,54,66.53,80.53,121.93,99.59
1984,20.19,44.74,80.8,56.89,94.77,46.26,51.18,78.71,94.81,54.56,70.49,78.73
1985,70.06,102.67,97.57,47.7,86.58,57.9,103.64,201.37,97.53,86.32,155.83,37.61
1986,25.01,65.85,58.1,66.55,51.22,138.97,83.16,74.74,164.25,73.35,35.1,54.06
1987,53.4,9.82,58,52.85,69.23,121.04,111.53,132.35,85.05,63.06,77.72,104.36
1988,24.19,50.53,34.45,56.77,25,17.48,70.23,65.1,71.05,90.06,112.47,48.23
1989,37.09,18.78,45.28,67.63,96.79,104.99,94.1,83.87,99.93,60.77,70.31,31.31
1990,45.43,112.34,47.33,70.91,113.23,84.28,52.42,98.3,135.26,101.01,74.76,112.88
1991,32.82,24.49,45.83,79.82,82.75,44.13,29.19,79.9,22.51,108.32,55.12,42.33
1992,53.72,43.33,70.07,95.47,49.63,74.07,162.81,96.62,145.28,64.34,116.79,44.23
1993,89.09,32.31,50.75,99.66,50.23,111.47,69.78,62.68,111.76,66.58,49.82,20.29
1994,58.93,31.08,61.84,102.56,44.59,139.02,70.77,107.35,52,51.22,70.05,62.44
1995,75.97,21.74,45.46,98.63,101.2,41.42,98.06,86.32,30.89,90.75,82.88,31.62
1996,46.38,48.81,40.94,117.24,92.11,117.56,78.25,35.68,163.57,58.29,54.36,74.52
1997,51.68,104.52,84.68,40.37,135.73,94.4,79.28,89.62,75.28,53.16,31.12,58.97
1998,82.59,80.49,99.87,80.16,43.41,68.94,52.91,109.81,21.2,16.75,28.62,51.01
1999,103.45,40.43,36.55,124.47,42.16,116.58,63.69,61.31,67.66,41.27,38.06,69.52
2000,44.71,34.86,31.33,98,113.24,109.29,149.9,107.19,89.87,58.96,52.58,81.8
2001,16.53,69.59,29.43,73.54,88.47,65.16,24.65,92.92,134.35,155.7,100.8,53.63
2002,54.33,52.17,43.74,102.28,81.69,63.38,83.16,25.99,42.25,39.38,66.78,45.17
2003,17.86,38.57,52.83,58.42,137.18,80.21,42.8,76.51,102.2,54.71,93.66,63.65
2004,53.03,19.95,91.32,30.79,161.83,79.11,76.57,94.86,21.1,69.13,76.37,77.16
2005,91.63,79.86,29.23,63.38,43.52,45.61,98.48,57.95,80.9,16.54,85.07,63.56
2006,73.84,56.77,49.23,57.6,119.73,78.69,109.09,55.83,56.94,114.91,74.57,96.5
2007,96.53,17.3,109.6,67.77,88.55,44.31,40.87,128.02,40.17,57.62,27.96,81.28
2008,62.67,78.13,70.93,34.85,48.25,143.31,115.56,56.7,146.76,32.63,84.12,99.35
2009,43.02,62.75,105.4,134.52,61.72,114.48,72.85,123.06,38.48,61.18,16.1,73.52
2010,17.55,38.85,44.52,60.72,137.81,114.67,157.4,25.96,98.22,47.37,85.62,26.06
2011,38.69,70.78,112.85,135.61,181.13,74.53,147.98,70.21,180.19,102.17,160.5,74.9
2012,62.87,38.21,73.62,42.7,81.11,50.74,142.71,91.23,56.16,69.62,17.26,64.65
2013,84.87,57.27,15.46,150.4,86.86,116.36,142.59,42.62,60.25,55.48,58.12,60.88
2014,66.74,57.92,31.92,54.64,146.56,94.17,84.28,145.47,133.67,49.16,43.4,30.91
2015,35.84,34.39,23.13,79.57,113.32,138.82,51.74,98.89,79.68,67.25,60.06,75.48
2016,36.02,63.02,135.68,47.83,55.75,26.33,98.27,159.18,136.11,77.12,48.82,54.79
2017,64.14,48.76,103.8,103.84,127.85,76.81,70.05,149.84,28.87,94.97,102.29,28.6
2018,32.12,105.79,39.38,111.75,129.59,101.99,37.88,70.6,112.59,115.22,91.04,54.14
2019,58.24,60.94,66.02,123.09,123.9,85.85,67.52,103.52,84,99.08,53.08,45.58
2020,102.74,31.62,70.62,43.93,97.92,81.77,73.38,196.26,71.78,73.39,68.83,41.04
2021,32.67,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA